Vendor_Formal_Name,Contact_Name,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,Borough,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,,DATEOFJOB4,EXPERIENCE4
"Barfield Public Relations, Inc.",Pauline Barfield,"MBE,WBE",02/28/2018;02/28/2018,BLACK,638 Macon Street,3rd Floor,Brooklyn,Brooklyn,NY,11233,638 Macon Street,3rd Floor,Brooklyn,New York,11233,http://www.barfieldny.com,2/25/1989,,,"Barfield Public Relations Inc., is a full service interactive agency specializing in publicity marketing campaigns, construction public information & communications, advertising, special events, website design & creative community liasion & outreach business development.",,,Bridge Street development,258400,,06-01-2012,Public Relations,CUNY/CUCF,92106,,06-01-2012,Event marketing,Astor Services,43840,,06-01-2012,Public Relations,,0,,,
"One Glass Productions, LLC",Stephanie Testa,WBE,,NON-MINORITY,231 Front Street,Suite #201,Brooklyn,Brooklyn,NY,11201,231 Front Street,Suite #201,Brooklyn,New York,11201,http://www.oneglassvideo.com,7/20/2006,,,"Video Production services, production crews provided, video editing services, animation services, motion graphics services, audio mixing services, color correcting services, webcasting (simulcasting, live streaming) services, creative services, script development, commercial production, industrial/ corporate video productions, training video production, event production, branded entertainment production, web video production, video encoding services.",,,Conde Nast,260000,100,05-01-2015,Video Production/Editing,Local Projects,88000,100,04-01-2015,Video Production/Editing,Twitter,22000,100,10-01-2015,Video Production/Editing,,0,,,
R & D Contractors & Builders Inc.,Mahy Richard,MBE,9/30/2018,BLACK,3411 Avenue I,,Brooklyn,Brooklyn,NY,11210,3411 Avenue I,,Brooklyn,New York,11210,,5/28/2002,,Ironworkers 580,Fabrication & installation of ornamental metals including storefront and curtainwall.,,,Gamma USA,260000,,06-01-2013,Stud fabrication,Gamma USA,238000,,09-01-2013,Metal stud install,Demaiteis,800000,,12-01-2013,Storefront install misc. metals,,0,,,
"Vanguard HVAC Technologies, Inc.",Margarita Lednyak,WBE,,NON-MINORITY,2907 Quentin Rd,,Brooklyn,Brooklyn,NY,11229,2907 Quentin Rd,,Brooklyn,New York,11229,http://N/A,10/19/2000,60000,Steamfitters 638,"Steamfitting work. Our services include - piping work for various HVAC systems- steam; hot water; chilled water; condensing water; piping boilers; chillers; cooling towers; PRV stations (steam); refrigeration work, shop and coordination drawings.",No,"Building Construction (non-Residential); Residential Building Construction; Other Heavy Civil Construction Work, i.e. Plants, Tunnels",Chapman & Evans Contracting Corp. (Prime Contractor),260000,100,03-01-2014,"Streamfitting work, Radiation work.",CDE Air Conditioning Co. Inc. (Prime Contractor),685346,100,02-01-2014,"Streamfitting work, HV-Units, unit heaters, pump work.",CDE Air Conditioning Co. Inc. (Prime Contractor),380800,100,02-01-2013,"Streamfitting work, 800 Tons chiller, pumps, new controls.",CDE Air Conditioning Co. Inc. (Prime Contractor),2425555,,,
ACME CONTRACTING CORP.,Muhammad Chaudhry,MBE,8/30/2020,ASIAN,201 Bay 43 Street,,Brooklyn,Brooklyn,NY,11214,201 Bay 43 Street,1st floor,Brooklyn,New York,11214,http://www.acmecc.net,5/24/2007,,,"Contractors, work varies from renovation of buildings and reconstruction of houses.",No,"Site work, i.e. Parks",Parkside Equities LLC,264150,80,11-12-2014,"Grinding & pointing, Lintel replacement, window caulking, Masonry & Concrete pavement, Window sills replacement, Scrape, Prime and paint fire escapes baskets, brick Replacement, Parapet stone replaced",Prospect Park Associates,62700,100,4/22/2015,"Roof replacement, Stucco work, Roof vents replaced, floor beams replaced, fire escapes scraped, primed and painted",Capri Landscaping,411452,22,08-03-2015,"Construction Fence, Reinforced Concrete, Colored Concrete Pavement, Colored Reinforced Concrete, Concrete Curb, Concrete Curb with skatesstoppers, Steel bar reinforcement, bicycle rack",MTA/TBTA/TDX,218000,,,
North-Eastern Fencing & Rails Inc.,Garry Phillps,MBE,12/31/2018,BLACK,330 Lenox  Road,Suite 2H,Brooklyn,Brooklyn,NY,11226,330 Lenox  Road,Suite 2H,Brooklyn,New York,11226,,6/29/2006,,Ironworkers 580,"Sells and install fences, gates, guard rails & ornamental fence.",,,Tully Construction Co. Inc.,264570,,06-01-2011,Furnish & Install box beam type Guardrail.,E.E. Cruz,746750,,08-01-2011,Furnish & Install box beam type Guardrail.,Yonker Contracting,610933,,07-01-2013,Furnish & Install box beam type Guardrail.,,0,,,
OPTA Contracting & General Builders,Peter Onitiri,MBE,11/29/2021,BLACK,370 Bushwick Avenue,#9-B,Brooklyn,Brooklyn,NY,11206,370 Bushwick Avenue,#9-B,Brooklyn,New York,11206,,4/16/2003,,,"General construction/ Construction Management, Estimating from conceptual to final estimate.",No,"Building Construction (non-Residential); Residential Building Construction; Other Heavy Civil Construction Work, i.e. Plants, Tunnels; Site work, i.e. Parks",HPD,275000,100,09-01-2014,Renovation of Building,DCAS,675587,100,12-01-2013,Demolition and removal of 8 floors on 60 Lafayette St. Court Room.,HPD,54500,100,02-01-2014,"Emergency work at 750 E. 224th St. Bronx, NY",,0,,,
J.W.P. Corp.,Joseph Peters,"MBE,WBE",02/27/2022;02/27/2022,BLACK,1063 East 105th Street,,Brooklyn,Brooklyn,NY,11236,1063 East 105th Street,,Brooklyn,New York,11236,http://JWPCorp.com,10-04-2006,20000,,"J.W.P. Corp is a general construction company with a specialty in carpentry.   We provide services to residential, commercial and higher education clients in the tri-state and metro area.  Services include, rough, finish & custom carpentry, complete remodeling, gut renovations & interior finishes.",No,Building Construction (non-Residential); Residential Building Construction,Pace University,280483,85,06-01-2016,Conversion of dorm rooms into one & two bedroom apartments,Pace University,122904,90,05-01-2016,Conversion of dorm rooms into offices,"Compton Heights Stables, LLC",237570,100,03-01-2014,"Gut renovation of five town house units. Carpentry tile work, painting, masonry",,0,,,
"Hakeem Maintenance Services, Inc.",Seth Hill,MBE,11/29/2022,BLACK,847 Halsey Street,,Brooklyn,Brooklyn,NY,11233,847 Halsey Street,,Brooklyn,New York,11233,http://www.hmss-inc.com,5/13/2013,,,"We provide pre, post construction site cleaning.",No,Building Construction (non-Residential); Residential Building Construction,Downtown Brooklyn G.C.,285198,100,06-09-2014,Construction site cleaning/security,Racanelli Construction,276133,80,4/13/2015,Construction site cleaning/security.,Danya - Cebus,101971,80,7/18/2016,Construction site cleaning/security.,,0,,,
"Alive Structures, LLC",Marni Majorelle,WBE,,NON-MINORITY,130 Diamond Street,# 4B,Brooklyn,Brooklyn,NY,11222,130 Diamond Street,4 B,Brooklyn,New York,11222,http://www.alivestructures.com,09-01-2007,,,"We design, install and maintain green roofs, green walls, terraces & gardens for residential, commercial, industrial or institutional clients.",No,Building Construction (non-Residential); Residential Building Construction,Manhattan College,286000,100,10-01-2012,Installed large green roofs under DEP grant for water retention study,Northeast Brooklyn Housing Development Corporation,30000,80,06-01-2012,Landscape renovation of Bedford Stuyvesant Community Garden,The Bluestone Organization,110000,100,06-01-2012,Installed green roofs for affordable housing buildings in Harlem,,0,,1/24/2013,"Pen, Key Lites, Hand Sanitizers"
"Sasco Construction Enterprises, Inc.",Shabana Iqbal,MBE,5/30/2022,ASIAN,424 Coney Island Avenue,,Brooklyn,Brooklyn,NY,11218,424 Coney Island Avenue,,Brooklyn,New York,11218,,3/20/2009,,,Residential and Commercial Construction Work.,,,Woodner House,287565,,8/18/2016,Exterior facade repairs,DSJ Management,57530,,7/18/2016,"Reconstruction stone replacement, retaining wall repairs.",EJ Realty LLC,60710,,5/20/2016,"Demo apartment, plywood installation, tiles installation",,0,,,
Sky Heights Construction Corp.,Narasab Ali,MBE,1/30/2022,ASIAN,2354 Stillwell Avenue,2nd Floor,Brooklyn,Brooklyn,NY,11223,2354 Stillwell Avenue,2nd Floor,Brooklyn,New York,11223,,03-08-2010,,,"Masonry, Tiles, Concrete, Carpentry, Brick, Stone, Paint, Scaffolding, Demolition, Rubbish Removal, Windows, Bricks, Masonry Cleaning, Brick Reappointing, Cluking.",No,"Building Construction (non-Residential); Residential Building Construction; Site work, i.e. Parks",NYC SCA,297786,100,1/28/2015,Concrete Lab Repair,A Quest Corp,475000,100,8/15/2016,Masonry and Concrete work,AWL,619786,100,12/27/2016,Masonry and Concrete work,,0,,,
EEHB Inc,Erin Hogan-Braker,WBE,,NON-MINORITY,74 India Street,Apt B12A,Brooklyn,Brooklyn,NY,11222,74 India Street,Apt B12A,Brooklyn,New York,11222,http://www.7thbonetailoring.com,09-01-2013,,,"Full service alterations company providing sewing resources, tailoring, alterations, and garmet repair for clothing and uniforms. We also provide sewing skills for interior design projects.",,,Ralph Lauren,300000,,01-01-2014,We alter clothing for photo shoots to reflect accurate fit and comply with the RL brand,The French laundry Restaurant,6500,,06-01-2013,We altered the staff uniforms at highest quality levels,American Eagle,15000,,01-01-2014,We altered clothing for the global advertising campaign on a variety of different body types,,0,,,
C. Francis Construction Corp.,Cary Francis,MBE,12/30/2019,BLACK,501 East 93rd Street,,Brooklyn,Brooklyn,NY,11212,501 East 93rd Street,,Brooklyn,New York,11212,,6/26/1995,,"Laborers 731, Teamsters 282","C. Francis Construction Corp is a union based minority trucking company, established since 1995. Our services include truck rental, removal of sand, stone, asphalt and debris to various NYC locations. The equipment for these services is a fleet of 10 wheeler dump trucks.",No,Bridge and/or Roadways; Sewer and/or Water Mains,Delaney,300000,100,04-01-2012,"Removal of dirt, stone and asphalt.",JR Cruz Corp.,134000,100,03-01-2012,"Removal of dirt, stone and asphalt.",Hallen Construction Corp.,2000000,100,01-01-2014,"Removal of dirt, stone and asphalt.",,0,,04-01-2017,Purchase of condoms by client
Court Street Office Supplies Inc.,Miriam Abramowitz,WBE,,NON-MINORITY,139 11th Street,,Brooklyn,Brooklyn,NY,11201,44 COURT STREET,,BROOKLYN,New York,11201,http://WWW.COURTSTREET.NET,4/23/1982,,,"Office Suppliers, Office Furniture, Corporate Gifts, Ink & Toner, School Supplies, Toys & Gifts",,,NY Psychotherapy Center,300000,100,01-01-2015,Office supplies,The Friends of Crown Heights,204000,100,01-01-2015,Office supplies,NYCHA,103000,100,01-01-2015,Office supplies,,0,,06-01-2016,Business Development for Arts Foundation
EJ & S Contracting Corp.,Elinor Joe,"MBE,WBE",06/30/2018;06/30/2018,BLACK,901 Newkirk Avenue,,Brooklyn,Brooklyn,NY,11230,901 Newkirk Avenue,,Brooklyn,New York,11230,,3/26/2010,,,Construction Services,,,Garden City Hotel,300000,,6/27/2014,Renovation,Edith Chester,275000,,04-07-2015,Alteration from 1 family house to church,,0,,,,,0,,04-01-2014,Provide architectural services for the gut rehabilitation of brownstones
A New World Contracting Co.,Simone Peele,"MBE,WBE",09/29/2020;09/29/2020,BLACK,1215 Eastern Parkway,,Brooklyn,Brooklyn,NY,11213,1215 Eastern Parkway,Suite #1E,Brooklyn,New York,11213,,12-01-2001,,,"At a New World Contracting Co., we pride ourselves on detail-orientation & focus.  It is our desire to provide our clients with the highest level of craftsmenship & project management..",,,DDC/Trocom,300000,100,08-01-2010,Installation of catch basins & new 2001B 20'cast iron pipes cold patchfor overnight.,MTA/Silverite,400000,100,07-01-2012,Install 80' 27 sq ft. cmv enclouse for stairwell.,Mass Electric,300000,100,03-01-2013,"Installation of 4,000 sq ft cmu walls angle clips in ceiling.",,0,,10-01-2015,Civil Litigation
"Tristate Construction & Masonry, Inc.",Mohammad Shabbir,MBE,2/28/2018,ASIAN,2922 Brighton 12th Street,,Brooklyn,Brooklyn,NY,11235,2922 Brighton 12th Street,,Brooklyn,New York,11235,,12-01-1996,,,"We specialize in masonry, concrete, brick, block, waterproofing, painting. Also all interior work & general carpentry.",,,NYC MTA,300000,,02-01-2011,Concrete masonry fencing metal work,NYC SCA,500000,,02-01-2011,Retaining wall paving asphalt & waterproofing,NYC SCA,400000,,02-01-2011,"Retaining wall, concrete paving, asphalt & waterproofing",,0,,,
"Choice of Colors, Inc.",Valmond Marlow,MBE,5/30/2020,BLACK,35-10 Avenue H,Suite 3P,Brooklyn,Brooklyn,NY,11210,35-10 Avenue H,Suite 3P,Brooklyn,New York,11210,,7/15/2008,,Laborers 79,"Full service interactive agency specializing in industrial, commercial, residential painting/carting and cleaning.",No,Building Construction (non-Residential),Control Solutions Group Inc.,307000,100,08-01-2015,"Painting, carting, cleaning",Empire Control Abatement,20000,100,04-09-2012,Painting Fence,,0,,,,,0,,,
"DDRT APEX, LLC.",Farley Look-kin,MBE,1/30/2020,BLACK,98 Rockwell Place,5th Floor,Brooklyn,Brooklyn,NY,11217,98 Rockwell Place,5th Floor,Brooklyn,New York,11217,http://www.professional-edge.net,8/24/2004,,,"We are a boutique operations consulting company offering Human Resources (HR) & HR related services, including Supplemental Staffing, Temporary to Permanent and Direct Hire Staffing Solutions. Hospitality Consulting & Business Advisory Services.",,,City of New York Administration for Children Services (ACS),316943,100,12-01-2012,Supplied all temp labor cleaner & porter positions at both Horizon Juvenile Detention Center and Crossroads Juvenile Detention Center.,City of New York Administration for Children Services (ACS),207490,100,12-01-2013,Supplied all temp labor cleaner & porter positions at both Horizon Juvenile Detention Center and Crossroads Juvenile Detention Center.,City of New York Administration for Children Services (ACS),60000,100,12-01-2012,Supplied all temp labor positions for Plant Management at both Horizon Juvenile Detention Center and Crossroads Juvenile Detention Center.,,0,,,
"Der's Custom Boots and Shoes, Inc.",Joseph Der,MBE,6/29/2019,HISPANIC,1885 McDonald Avenue,,Brooklyn,Brooklyn,NY,11223,1885 McDonald Avenue,,Brooklyn,New York,11223,http://www.derdau.com,5/15/1980,,,DerDau is a USA manufacturer making custome handmade boots and shoes.,,,Dover Saddlery,320157.05,,01-01-2013,We make custom made boots and  shoes.  They sell to custumers along with other products & accessories.,Smart Pak,70693,,01-01-2013,We make custom made boots and  shoes.  They sell to custumers along with other products & accessories.,"Tack Room, Inc.",79481.5,,01-01-2013,We make custom made boots and  shoes.  They sell to custumers along with other products & accessories.,,0,,,
Atelier of Form and Function NY LLC,Maria Goudovitch,WBE,,NON-MINORITY,60 DeKalb Avenue #27F,,Brooklyn,Brooklyn,NY,11201,60 DeKalb Avenue #27F,,Brooklyn,New York,11201,,12-01-2015,,,"Design spaces from an interior perspective, and I help to bring it to actual life through construction services, vendor relationships, etc. Focuses in residential, high end corporate, and hospitality.",No,Building Construction (non-Residential); Residential Building Construction,LMD Partners Inc.,325000,30,09-01-2017,Design and layout of apartments for legalization of use and code compliance.,2944 W 5th Street Residence,30000,90,09-01-2017,Design of all interior elements for gut renovation of 3 bedroom apt. in Brooklyn.,219 E 44th Street Condos,176000,60,01-01-2016,Design of all interior elements for 6 new condo units. Space planning and specification of interior elements.,,0,,12/22/2016,"Quoted, purchase and deliver."
JL Plumbing LLC,Jermaine LaRose,MBE,8/30/2021,BLACK,2240 Linden Blvd,,Brooklyn,Brooklyn,NY,11207,2240 Linden Blvd,,Brooklyn,New York,11207,,10/23/2006,,,"A reliable and professional plumbing and heating service to the building industry, it is our aim to enhance and extend that service into the future by building further upon our reputation which has grown.",No,Residential Building Construction,Melcon,325000,100,11-01-2013,"Install sprinkler heads, bathroom",Vickers Realty,150000,100,09-01-2014,Install bathroom & sinks,136 Sackman,60000,100,03-01-2015,Install bathroom & kitchen,,0,,,
"The Williamsburg Co., Inc",Keith Williams,MBE,1/30/2023,BLACK,225 Third Ave,,Brooklyn,Brooklyn,NY,11217,225 Third Ave,225 Third,Brooklyn,New York,11217,,2/25/1997,,,"Excavation/Foundation Site Work, Drainage, Renovations",No,"Residential Building Construction; Sewer and/or Water Mains; Site work, i.e. Parks",Silver Beach Gardens,325000,100,05-11-2015,excavation and foundation for new community center,Darren & Jill Block,255000,100,4/18/2016,rennovation and extension of 3 family home,Jiwoo Park Architecture,105000,100,5/16/2016,renovation painting and lighting upgrade for MM LaFleur design studio and gallery,,0,,,
Control Electropolishing Corp.,Nancy Zapata,"MBE,WBE",05/31/2018;05/31/2018,HISPANIC,109 Walworth Street,,Brooklyn,Brooklyn,NY,11205,P.O Box 050237,,Brooklyn,New York,11205,http://www.controlelectropolishing.com,5/22/1959,,,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work place.  It is used to polish, passivate, and deburr metal parts; it is often described as the reverse of electroplating. This process is useful in medical and surgical industries. Passivation is the process of making a material 'passive' in relation to another material prior to using the materials together. In the context of corrosion, passivation is the spontaneous formation of a hard non-reactive surface film that inhibits further corrosion. This layer is usually an oxide or nitride that is a few atoms this.",,,Oberg Saver,326000,,12-01-2012,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work piece.  It is used to polish, passivate, and deburr metal parts; it is often described as the reverse o",Checkmate,271000,,12-01-2012,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work piece.",Okay Industries,210000,,12-01-2012,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work piece.",,0,,01-03-2015,"Prep and paint: walls, ceilings, sheetrock, soffits, doors, Q-decks, beams, remove and reinstall wall coverings, skim coat, strip convectors, prep and paint spray Scuffmaster black (Decorative WAll), Electrostatic Paint - Elevator Door."
"Gold Security Guard Services, Inc.",Wilburn Duncan,MBE,1/31/2019,BLACK,Building 280,Unit 310 - Ste. 419,Brooklyn,Brooklyn,NY,11205,Building 280,Unit 310 - Ste. 419,Brooklyn,New York,11205,http://www.goldguards.com,09-04-2004,10000,,Watch guard & patrol services providing uniformed NYS certified unarmed guards to all client locations.,,,"Brookfield Construction Associates, LLC",330000,,10-01-2013,On site security for Construction Site. Mobile Patrol also included.,47 W. 14th Street,38000,,02-01-2012,Lobby Security for Client's Location,,0,,,,,0,,,
Corona Industries Corp.,Susan Vargas,MBE,9/29/2021,HISPANIC,97 Knickerbocker Avenue,,Brooklyn,Brooklyn,NY,11237,97 Knickerbocker Avenue,,Brooklyn,New York,11237,,3/25/2003,,,"We specialize in steel and iron fencing and gates. We furnish and install chain link fences, double and single gates, wicket fence, custom/standard rails and gates. We also furnish and install window guards, storm doors and steel staircases and handrails.",No,"Site work, i.e. Parks",NYC Dept. of Parks & Recreation (Vernon Hills Contracting Corp- Prime Contractor),330477,100,06-12-2015,Chain link fence--various heights.,NYC Dept. of Parks & Recreation (AAH Construction Corp- Prime Contractor),282902,100,11-01-2015,"Furnished and installed Steel fence 2'-6'ht, 3'-0'ht., 4'-0'ht., 4'-6'ht. gates and double gates, Chain link fence in various heights.",NYC Dept. of Parks & Recreation (The Dawson Corp- Prime Contrator),60270,100,04-08-2016,Furnish and install Aluminum pipe rail fence.,,0,,,
"Flemington Electrical Maintenance, Inc.",Vera Caras,WBE,,NON-MINORITY,225 31st Street,,Brooklyn,Brooklyn,NY,11232,225 31st Street,,Brooklyn,New York,11232,,6/22/1999,,International Brotherhood of Electrical Workers 3,"Our electrical company installs and repairs wiring for light, power, heat, alarms, annunciators and telephones; we install motors, generators and all electrical equipment, machinery, supplies, means & materials of all kinds for the application of electricity for any all purposes. We install and maintain lightening fixtures, power outlets, electric signs and signals, HVAC system, fire alarm systems along with other electrical systems.",,,BNF Contractors,330751,90,9/23/2016,"Install lighting fixtures, transformers, fire alarm systems, HVAC power and disconnect switches, main dist. panels, circuit breaker panel, exit lights, dorm door replacement.",Wycoff Heights Medical Center,226000,100,4/14/2016,"Install LED recess lights, retrofit florescent lights, relamp track fixtures and downlights, install circuit breaker panel power outlets, ground cable tray and install 30amp line for A/C.","Cushman & Wakefield, Inc.",263500,80,9/23/2016,"Refurbish and reinstall trapezoid wall stones and can lights on 45th St., repair existing ASCO contractors and install time clock.","Casey Fire Systems, Inc.",550000,,05-01-2014,Corporate Taxes and Financial Statement Audit
"Dynamic Electric System, Inc.",Nancy Shufane,WBE,,NON-MINORITY,121 Greenpoint Avenue,,Brooklyn,Brooklyn,NY,11222,238 Main Street,,Hackensack,New Jersey,7601,http://www.dynamicelectric.com,10-10-2001,,Electric IBEW 3,"Dynamic Electric System, Inc. provides commericial and industrial electrical work up to 480 Volts for new construction, rehabilitation and custom work. We specialize in electrical work that serves power plants, boiler rooms, HVAC systems, new fire alarms, solar systems, underground power lines, and emergency generators.",,,Dynamic Mechanical Contractors Inc.,338508.74,100,03-01-2014,"Installation/wiring of new power distribution panel of (4) 1000 HP Boilers and all associated equipment such as burners, control panels, compressors, fuel oil pumps, gas trains, controls etc.",Gehrlicher Solar America Corp.,362700,100,11-01-2014,"Installation of rooftop solar system, construction & placement into operation of 1 solar electric generating system and all related ancilary equipment with capacity of 117 KW.",Dynamic Mechanical Contractors Inc.,630234.2,100,07-01-2015,Installation of all power & control wiring for 2 1000 KW emergency power generators. Provided complete communication between generators and power plant control system.,NYC Parks & Recreation Department,2278399.82,,01-01-2015,School Auditorium Remodeling & Upgrading
"Hindustan Granites, Inc.",Prakash Doddahosahalli,MBE,4/30/2019,ASIAN,272 Johnson Avenue,,Brooklyn,Brooklyn,NY,11206,65 David's Drive,,Hauppauge,New York,11788,http://www.hgstones.com,4/14/1992,1000000,,"Natural stone distributor - granite, marble, limestone, quartz & slate.",Yes,,MTA - Contractor,350000,100,01-01-2013,Granite Paver Supply.,MTA- Contractor,150000,100,01-01-2014,Granite Paver Supply.,EXTEL- Contractor,200000,100,10-01-2013,Black Granite Pavers for Lobbys.,Lincoln Center- Contractor,600000,,,
M. Rahman Construction Corp.,Mohammed Siyful,MBE,12/30/2021,ASIAN,1876 Schenectady Ave,Suite 2,Brooklyn,Brooklyn,NY,11234,1876 Schenectady Ave,Suite 2,Brooklyn,New York,11234,,6/26/2007,,,"We are a General Contractor specializes in carpentry, painting, tiles, flooring, renovation, demolition, remodeling, windows, doors, roofing, fencing, sidewalk, sidewalk bridge, stainless steel, iron work, masonry, stucco, pointing, restoration, paper hanging, and child guards.",No,"Building Construction (non-Residential); Residential Building Construction; Site work, i.e. Parks",NYC HPD,350000,100,06-01-2015,Installation and repair windows,NYC HPD,400000,100,01-01-2016,Installation and repair window guard,NYC HPD,79000,100,08-01-2016,"Remove mold, scrape, plaster, & paint",,0,,05-10-2013,"Reconstruction of complete house, roof, ventilation, paint, concrete, windows and patio"
ATO Contracting Corp.,Annette Olivo,WBE,,NON-MINORITY,921-71st Street,,Brooklyn,Brooklyn,NY,11228,921-71st Street,,Brooklyn,New York,11228,,10-11-1994,,"NYC DC Carp 608, NYC DC Carp 45, Painters 1974","Taping firm, drywall contractor, carpentry work. Temporary protection and ceiling contractor.",,,Donaldson Organization,350534,100,04-01-2014,Taping work,Island Acousics,313970,100,3/18/2014,Taping work,Cord Contracting,893886,100,02-04-2014,Taping work,,0,,,
Brooklyn Web Center,Baila Paluch,WBE,,NON-MINORITY,542 East 3rd Street,,Brooklyn,Brooklyn,NY,11218,542 East 3rd Street,,Brooklyn,New York,11218,http://www.brooklynwebcenter.com,02-07-2005,,,"We develop custom software, websites and mobile apps. Our team of skilled designers work in-house at our Brooklyn office. From absolutely magnificent, responsive design to complex software solutions, from basic e-commerce to multi-channel interfaces, we analyze your needs and make it happen. Also word press, big commerce and volusion.",,,Pooled Trust,360000,100,1/20/2016,Website and App for admin and client access to all trust fund transactions.,Landlord -Tenant,190000,100,04-01-2016,"Morgage case, status and generate document for landlord - tenant eviction cases as per all legal requirements.",Special Needs Services,240000,100,10-01-2016,"Manage client and provider info, insurance info, documentation and status for all clients, providers and services.",,0,,,
"ARK Builders, Corp.",Adnan Khan,MBE,9/30/2018,ASIAN,2239 60th Street,,Brooklyn,Brooklyn,NY,11204,2239 60th Street,,Brooklyn,New York,11204,,06-06-2001,400000,,General construction services,,,5 Boro Technical Services,368898,,07-01-2010,"Addition to exisiting building, new elevator shaft, electrical work, plumbing, elevator installers. Low voltage door sensors",Red Rock Job Corps,127000,,11-01-2011,"Waterproofign of building masonry, removal and reinstallation of EPDM roofign system. Coordinated with the faciltiy and other contractors working on the building.",Sharon Baptis Head Start,237000,,12-01-2010,Removal of 6 Sotry high chimney and all work associated with it. Interior demolitions. Reinstallation/rerouting of electrical and associated plumbing work. Completed the project 83 days before the completion date.,,0,,,
"Marovato Industries, Inc.",Rose Marie Rotondi,WBE,,NON-MINORITY,100 Dobbin Street,,Brooklyn,Brooklyn,NY,11222,100 Dobbin Street,,Brooklyn,New York,11222,http://www.marovato.com,05-04-1994,,Steamfitters 638,"Engineering design of pipe supports and siesmic analysis; supply of pipe support hardware (nuts & bolts), anchor fasteners.",,,Durr Mech-Newtown Creek,379021,,03-01-2008,"Engineering design of pipe supports, pipe support and hardware (nuts and bolts) supply.",Frontier/Kemper/Durr/Perini JV Bowery Bay (DEP),750000,,12-01-2007,"Engineering design of pipe supports, pipe support and hardware (nuts and bolts) supply.",Skanska-Tully-Croton Water Treatment Plant,5000000,,09-01-2007,"Engineering design of pipe supports, pipe support and hardware (nuts and bolts)supply.",Skanska/Tully,5000000,,,
B & N Welding & Construction Corp.,Neil Lancaster,MBE,11/29/2019,ASIAN,206 Hinsdale Street,,Brooklyn,Brooklyn,NY,11207,206 Hinsdale Street,,Brooklyn,New York,11207,,7/14/1998,,United Structural Steel Workers 480,"Business provide services for structural steel & miscelleneous iron work (gates, window grids) & fencing.",No,"Building Construction (non-Residential); Residential Building Construction; Site work, i.e. Parks",WOW Construction Inc.,380124,100,03-01-2014,"Supply & installation of structural & misc. steel work, deck sheeting, stair case, bar joist & railings.",Bricken Construction Inc.,989595,100,08-01-2013,Construct fence & gates and miscelleneous steel work.,Hi-Tech Restorations,260000,100,08-01-2012,Construct bridge leading to roof top playground & fence with chain link 12ft high & construct gates.,,0,,,
Red & Blue Construction Corp.,Muhammad Sajid,MBE,9/30/2018,ASIAN,677 Ashford Street,Basement,Brooklyn,Brooklyn,NY,11207,677 Ashford Street,Basement,Brooklyn,New York,11207,,4/25/2007,,,"We are general contractor, providing masonary restoration, brick facade, exterior paint (specialization)",,,NYC SCA; TDEX Construction Corp,384000,,12-01-2012,"Library upgrade wall cabinets, floor tiles, plaster, paint, mural work",TBTA; TDX Construction Corp,246100,,6/15/2013,"Drainage cleaning, rockwall maintenance, tree pruning",1028 Bushwick Catch Houses;Builders-R-Us,428000,,12-11-2012,"Masonary restoration replace parallel wall, steel textiles, pointing prescasi sill replacement",,0,,,
Moey Inc.,Liz Shaw,WBE,,NON-MINORITY,"232 3rd Street, E301",E301,Brooklyn,Brooklyn,NY,11215,"232 3rd Street, E301",E301,Brooklyn,New York,11215,http://www.moeyinc.com,01-01-2003,,,"Moey Inc. creates innovative, dynamic, and meaningful technology-based exhibits around the world for planetariums, science centers, children's museums, artists, scientists, and corporate clients.",,,New York Hall of Science,385000,100,06-01-2015,AV integration and show control for this technically sophisticated project and to collaborate with Design I/O and NYSCI to bring it to life.,Brooklyn Bridge Park Conservancy,120000,80,10-01-2015,Collaborated with BBPC's designer to develop and fabricate all elements of the Discovery Station exhibit.,New York Historical Society,50000,100,12-01-2014,Program show control for the entire exhibit including hardware specification and hardware/software integration with the audio and lighting sub show controllers.,,0,,,
